NAME_OF_ISSUER	TITLE_OF_CLASS	CUSIP	VALUE	SHRS_OR_PRN_AMT	SH_OR_PRN	PUT_OR_CALL	DISCRETION	OTHER_MANAGER	SOLE_VOTING_AUTH	SHARED_VOTING_AUTH	NO_VOTING_AUTH
EURODRY LTD	COM	Y23508107	1,404	180,000	SH	 	SOLE	42	180,000	0	0
EUROSEAS LTD	SHS	Y23592135	457	112,500	SH	 	SOLE	42	112,500	0	0
ENVESTNET INC	COM	29404K106	164,036	2,355,816	SH	 	SOLE	0	2,355,816	0	0
U S WELL SVCS INC	CL A	91274U101	8,458	4,474,937	SH	 	SOLE	44	4,474,937	0	0
10X GENOMICS INC	CL A COM	88025U109	1,758	23,051	SH	 	SOLE	2	23,051	0	0
10X GENOMICS INC	CL A COM	88025U109	652	8,552	SH	 	SOLE	18	7,286	0	1,266
10X GENOMICS INC	CL A COM	88025U109	9,967	130,714	SH	 	SOLE	19	130,714	0	0
10X GENOMICS INC	CL A COM	88025U109	78	1,022	SH	 	SOLE	20	1,022	0	0
10X GENOMICS INC	CL A COM	88025U109	816	10,702	SH	 	SOLE	21	10,702	0	0
10X GENOMICS INC	CL A COM	88025U109	11,774	154,411	SH	 	SOLE	22	154,411	0	0
10X GENOMICS INC	CL A COM	88025U109	398	5,221	SH	 	SOLE	23	5,221	0	0
10X GENOMICS INC	CL A COM	88025U109	1,578	20,698	SH	 	SOLE	26	0	0	20,698
10X GENOMICS INC	CL A COM	88025U109	8,437	110,651	SH	 	SOLE	34	110,651	0	0
1347 PPTY INS HLDGS INC	COM	68244P107	34	6,165	SH	 	SOLE	21	6,165	0	0
1895 BANCORP OF WIS INC	COM	28252W105	17	1,607	SH	 	SOLE	21	1,607	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	196	8,849	SH	 	SOLE	2	350	0	8,499
1ST CONSTITUTION BANCORP	COM	31986N102	611	27,620	SH	 	SOLE	18	27,620	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	288	12,997	SH	 	SOLE	19	12,997	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	7,031	317,729	SH	 	SOLE	21	317,729	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	1,515	68,459	SH	 	SOLE	22	64,030	0	4,429
1ST SOURCE CORP	COM	336901103	803	15,469	SH	 	SOLE	2	675	0	14,794
1ST SOURCE CORP	COM	336901103	15	281	SH	 	SOLE	7	281	0	0
1ST SOURCE CORP	COM	336901103	2,579	49,720	SH	 	SOLE	18	49,720	0	0
1ST SOURCE CORP	COM	336901103	1,522	29,335	SH	 	SOLE	19	29,335	0	0
1ST SOURCE CORP	COM	336901103	24,772	477,493	SH	 	SOLE	21	477,493	0	0
1ST SOURCE CORP	COM	336901103	28,313	545,747	SH	 	SOLE	22	526,141	0	19,606
1ST SOURCE CORP	COM	336901103	358	6,899	SH	 	SOLE	26	0	0	6,899
1ST SOURCE CORP	COM	336901103	130	2,512	SH	 	SOLE	28	2,512	0	0
1ST SOURCE CORP	COM	336901103	456	8,788	SH	 	SOLE	30	8,788	0	0
1ST SOURCE CORP	COM	336901103	79	1,516	SH	 	SOLE	40	1,516	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	105	14,547	SH	 	SOLE	4	14,547	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	4,507	621,626	SH	 	SOLE	21	621,626	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	2,526	348,404	SH	 	SOLE	22	340,868	0	7,536
21VIANET GROUP INC	SPONSORED ADS A	90138A103	23	3,179	SH	 	SOLE	25	3,179	0	0
21VIANET GROUP INC	SPONSORED ADS A	90138A103	1,413	194,938	SH	 	SOLE	30	194,938	0	0
22ND CENTY GROUP INC	COM	90137F103	53	48,102	SH	 	SOLE	2	3,975	0	44,127
22ND CENTY GROUP INC	COM	90137F103	3	2,871	SH	 	SOLE	7	2,871	0	0
22ND CENTY GROUP INC	COM	90137F103	456	414,605	SH	 	SOLE	18	414,605	0	0
22ND CENTY GROUP INC	COM	90137F103	225	204,244	SH	 	SOLE	19	204,244	0	0
22ND CENTY GROUP INC	COM	90137F103	4,615	4,195,377	SH	 	SOLE	21	4,195,377	0	0
22ND CENTY GROUP INC	COM	90137F103	3,737	3,397,592	SH	 	SOLE	22	3,298,756	0	98,836
2U INC	COM	90214J101	2,600	108,361	SH	 	SOLE	2	3,665	0	104,696
2U INC	COM	90214J101	9	389	SH	 	SOLE	4	389	0	0
2U INC	COM	90214J101	22	912	SH	 	SOLE	7	912	0	0
2U INC	COM	90214J101	784	32,691	SH	 	SOLE	18	26,301	0	6,390
2U INC	COM	90214J101	320	13,321	SH	 	SOLE	19	13,321	0	0
2U INC	COM	90214J101	18,605	775,552	SH	 	SOLE	21	775,552	0	0
2U INC	COM	90214J101	40,242	1,677,436	SH	 	SOLE	22	1,570,567	0	106,869
2U INC	COM	90214J101	469	19,548	SH	 	SOLE	26	11,851	0	7,697
2U INC	COM	90214J101	185	7,695	SH	 	SOLE	28	7,695	0	0
2U INC	COM	90214J101	503	20,982	SH	 	SOLE	30	20,982	0	0
2U INC	COM	90214J101	29	1,190	SH	 	SOLE	31	1,190	0	0
2U INC	COM	90214J101	138	5,768	SH	 	SOLE	40	5,768	0	0
3-D SYS CORP DEL	COM NEW	88554D205	1,020	116,594	SH	 	SOLE	2	4,064	0	112,530
3-D SYS CORP DEL	COM NEW	88554D205	5	575	SH	 	SOLE	4	575	0	0
3-D SYS CORP DEL	COM NEW	88554D205	15	1,746	SH	 	SOLE	7	1,746	0	0
3-D SYS CORP DEL	COM NEW	88554D205	0	17	SH	 	SOLE	17	0	0	17
3-D SYS CORP DEL	COM NEW	88554D205	4,487	512,748	SH	 	SOLE	18	512,748	0	0
3-D SYS CORP DEL	COM NEW	88554D205	1,781	203,539	SH	 	SOLE	19	203,539	0	0
3-D SYS CORP DEL	COM NEW	88554D205	114,717	13,110,504	SH	 	SOLE	21	13,110,504	0	0
3-D SYS CORP DEL	COM NEW	88554D205	30,472	3,482,546	SH	 	SOLE	22	3,347,589	0	134,957
3-D SYS CORP DEL	COM NEW	88554D205	473	54,015	SH	 	SOLE	26	46,641	0	7,374
3-D SYS CORP DEL	COM NEW	88554D205	135	15,374	SH	 	SOLE	28	15,374	0	0
3-D SYS CORP DEL	COM NEW	88554D205	17,497	1,999,615	SH	 	SOLE	30	1,999,615	0	0
3-D SYS CORP DEL	COM NEW	88554D205	97	11,083	SH	 	SOLE	40	11,083	0	0
360 FINANCE INC	ADS	88557W101	89	9,089	SH	 	SOLE	4	9,089	0	0
360 FINANCE INC	ADS	88557W101	246	25,170	SH	 	SOLE	21	25,170	0	0
360 FINANCE INC	ADS	88557W101	2,822	288,888	SH	 	SOLE	22	272,229	0	16,659
360 FINANCE INC	ADS	88557W101	873	89,337	SH	 	SOLE	30	89,337	0	0
3M CO	COM	88579Y101	316,082	1,791,646	SH	 	SOLE	2	497,047	0	1,294,599
3M CO	COM	88579Y101	54,152	306,950	SH	 	SOLE	4	291,285	0	15,665
3M CO	COM	88579Y101	112,970	640,347	SH	 	SOLE	7	581,523	0	58,824
3M CO	COM	88579Y101	925	5,242	SH	 	SOLE	13	5,242	0	0
3M CO	COM	88579Y101	580	3,289	SH	 	SOLE	15	3,289	0	0
3M CO	COM	88579Y101	18	101	SH	 	SOLE	17	0	0	101
3M CO	COM	88579Y101	322,348	1,827,160	SH	 	SOLE	18	1,734,874	0	92,286
3M CO	COM	88579Y101	92,410	523,804	SH	 	SOLE	19	523,804	0	0
3M CO	COM	88579Y101	4,170	23,636	SH	 	SOLE	20	23,636	0	0
3M CO	COM	88579Y101	2,556,473	14,490,835	SH	 	SOLE	21	14,490,835	0	0
3M CO	COM	88579Y101	2,516,966	14,266,896	SH	 	SOLE	22	12,537,513	0	1,729,383
3M CO	COM	88579Y101	87,778	497,551	SH	 	SOLE	23	497,551	0	0
3M CO	COM	88579Y101	123,958	702,629	SH	 	SOLE	25	702,629	0	0
3M CO	COM	88579Y101	553,027	3,134,719	SH	 	SOLE	26	384,955	0	2,749,764
3M CO	COM	88579Y101	19,013	107,774	SH	 	SOLE	28	75,050	0	32,724
3M CO	COM	88579Y101	13,014	73,768	SH	 	SOLE	29	67,806	0	5,962
3M CO	COM	88579Y101	417,813	2,368,284	SH	 	SOLE	30	2,368,284	0	0
3M CO	COM	88579Y101	40,770	231,094	SH	 	SOLE	31	170,343	0	60,751
3M CO	COM	88579Y101	15,368	87,109	SH	 	SOLE	32	87,109	0	0
3M CO	COM	88579Y101	35,278	199,967	SH	 	SOLE	34	199,967	0	0
3M CO	COM	88579Y101	72,169	409,077	SH	 	SOLE	36	409,077	0	0
3M CO	COM	88579Y101	1,603	9,089	SH	 	SOLE	37	9,089	0	0
3M CO	COM	88579Y101	2,234	12,661	SH	 	SOLE	40	12,661	0	0
500 COM LTD	SPON ADR REP A	33829R100	35	4,075	SH	 	SOLE	4	4,075	0	0
500 COM LTD	SPON ADR REP A	33829R100	1,603	186,372	SH	 	SOLE	21	186,372	0	0
