ticker,buy_date,buy_close
A,2020-02-20,84.13
AA,2020-01-17,17.69
AAL,2020-02-24,25.45
AAMC,2020-03-16,14.08
AAME,2020-03-30,2.13
AAOI,2020-03-23,6.9
AAPL,2020-02-25,288.08
AAT,2019-12-13,44.35
AAXN,2020-03-06,74.44
ABC,2020-02-27,86.59
ABCB,2019-12-23,42.65
ABEO,2020-03-06,2.72
ABG,2020-01-13,102.35
ABIO,2020-04-07,2.76
ABM,2020-02-14,38.57
ABMD,2020-04-01,144.48
ABR,2020-02-25,13.52
ACAD,2019-12-19,43.63
ACB,2019-05-31,7.59
ACBI,2019-08-23,16.84
ACC,2020-04-07,28.72
ACCO,2020-03-06,7.92
ACER,2020-03-25,1.97
ACHC,2019-11-15,31.5
ACIA,2019-05-31,46.6
ACIW,2020-01-14,37.08
ACM,2020-03-02,45.65
ACNB,2020-02-14,34.35
ACOR,2020-02-10,2.01
ACRE,2020-03-23,5.07
ACRS,2019-02-06,6.94
ACRX,2019-10-07,2.15
ACU,2020-03-02,23.03
ACY,2019-12-27,4.87
ADBE,2020-02-27,337.52
ADC,2020-03-16,56.42
ADES,2020-03-03,8.98
ADI,2020-02-05,116.05
ADM,2020-01-29,43.34
ADMA,2019-11-26,4.57
ADMS,2020-02-18,5.6
ADRO,2019-05-29,3.45
ADS,2020-01-31,102.17
ADSK,2020-03-12,136.0
ADT,2020-01-22,6.47
ADTN,2020-02-04,9.48
ADVM,2019-09-03,10.39
AEE,2020-03-12,72.4
AEGN,2020-02-05,21.63
AEHR,2020-03-04,2.02
AEIS,2020-02-18,72.0
AEL,2020-01-21,28.19
AEM,2020-01-27,61.46
AEMD,2020-02-24,2.45
AEO,2020-03-10,10.57
AEP,2020-02-28,89.26
AERI,2020-02-12,19.81
AES,2020-03-02,18.22
AEZS,2020-03-05,0.76
AFI,2019-05-28,11.46
AFL,2020-02-20,51.49
AFMD,2020-02-28,2.36
AG,2020-01-22,10.33
AGCO,2020-01-17,74.59
AGD,2020-02-28,8.92
AGFS,2018-10-10,6.14
AGLE,2019-12-03,8.04
AGNC,2020-02-25,18.13
AGO,2020-01-27,46.65
AGR,2019-01-28,46.48
AGRX,2020-03-31,1.86
AGTC,2020-04-03,3.0
AGX,2020-02-28,41.73
AGYS,2020-03-19,14.85
AHH,2020-02-12,17.76
AIHS,2019-10-22,0.27
AIM,2019-07-02,4.03
AIMC,2020-01-28,33.74
AIMT,2020-02-06,29.47
AINC,2020-03-27,8.11
AIR,2020-02-05,44.33
AIRG,2020-01-29,9.67
AIRT,2020-01-09,21.22
AIT,2020-01-27,64.01
AIZ,2020-03-03,123.25
AJG,2020-02-28,97.08
AJRD,2020-02-27,50.42
AJX,2020-02-19,14.75
AKAM,2020-03-06,90.62
AKBA,2020-03-12,6.07
AKCA,2019-10-04,15.13
AKER,2019-10-15,9.72
AKG,2020-04-03,0.84
AKRX,2020-02-26,1.26
AKS,2020-01-22,3.03
AKTS,2019-11-21,7.34
ALB,2020-03-02,83.84
ALBO,2020-03-09,20.27
ALCO,2020-04-13,28.35
ALDX,2020-03-05,3.57
ALEX,2020-03-30,12.19
ALGN,2020-01-27,260.91
ALGT,2020-03-02,137.43
ALJJ,2020-02-13,1.15
ALK,2019-12-04,66.54
ALL,2020-02-27,109.38
ALLY,2020-02-21,28.47
ALNA,2019-11-29,2.21
ALNY,2020-03-05,116.91
ALO,2020-01-28,0.74
ALOT,2019-11-18,15.88
ALPN,2019-10-25,2.82
ALRM,2019-05-24,59.46
ALRN,2020-03-25,0.381
ALRS,2020-02-21,21.5
ALSK,2020-03-05,1.9649
ALSN,2020-01-21,47.25
ALV,2020-01-31,76.02
ALX,2020-02-12,327.35
ALXN,2020-01-09,110.74
AM,2020-03-04,4.24
AMAG,2020-01-24,9.63
AMAT,2020-01-27,58.86
AMD,2020-03-09,43.27
AME,2020-02-25,91.54
AMED,2020-04-03,176.66
AMG,2020-02-28,75.22
AMGN,2020-01-31,214.53
AMKR,2020-01-28,12.02
AMN,2020-04-15,56.93
AMNB,2020-01-16,37.25
AMOT,2020-03-04,38.1
AMPE,2020-03-31,0.42
AMPH,2020-02-18,18.81
AMRB,2020-02-13,14.66
AMRK,2020-03-11,9.22
AMSF,2020-04-15,62.7
AMT,2020-03-12,216.92
AMTD,2020-01-31,47.17
AMWD,2020-02-27,84.89
AMZN,2020-03-12,1676.61
AN,2020-02-26,43.71
ANAB,2019-06-28,56.42
ANAT,2019-12-03,114.78
ANDE,2020-02-05,24.11
ANET,2020-03-17,168.2
ANGO,2020-02-04,13.8
ANH,2020-01-27,3.57
ANIK,2019-12-11,54.25
ANIP,2020-03-19,41.98
ANIX,2020-02-24,3.31
ANSS,2020-02-25,266.44
AOBC,2020-03-09,6.31
AOS,2019-12-03,46.45
AP,2019-10-14,3.86
APA,2019-12-02,19.39
APD,2020-02-27,222.64
APDN,2020-04-01,3.79
APEI,2020-01-24,25.26
APEN,2020-03-06,2.52
APHA,2019-05-10,7.22
APLS,2020-02-26,34.44
APOG,2019-12-20,31.62
APT,2019-11-11,3.41
